"first_name","last_name","hire_date"
"Heekeun","Isard","01-17-1986"
"Uinam","Ponthieu","12-05-1986"
"Alain","Bernick","01-24-1986"
"Baruch","Klassen","03-17-1986"
"Feixiong","Leaver","06-14-1986"
"Stella","Marchegay","04-11-1986"
"Elzbieta","Delgrossi","11-05-1986"
"Constantine","Kumaresan","04-14-1986"
"Zeljko","Langford","06-10-1986"
"Mokhtar","Cusworth","03-23-1986"
"Atreye","Hainaut","02-20-1986"
"Vojin","Anick","09-04-1986"
"Yakkov","Backhouse","03-09-1986"
"Zhonghui","Brlek","04-29-1986"
"Girolamo","Ruther","05-14-1986"
"Halsur","Encarnacion","07-08-1986"
"Wuxu","Duclos","03-30-1986"
"Parviz","Ranai","01-21-1986"
"Hidefumi","Peir","12-28-1986"
"Slavian","Schach","10-26-1986"
"Wojceich","Krupka","09-20-1986"
"Takanari","Undy","05-27-1986"
"Yoshinari","Malinowski","01-23-1986"
"Giri","Butterworth","03-17-1986"
"Xumin","Matzen","09-27-1986"
"Yannis","McClurg","02-23-1986"
"Shao","Etalle","01-30-1986"
"Lalit","Ozery","03-28-1986"
"Yagil","Basart","03-26-1986"
"Qunsheng","Emden","03-15-1986"
"Ortrun","Bultermann","10-01-1986"
"Franziska","Meriste","10-17-1986"
"Satyanarayana","Rabejac","09-09-1986"
"Sadun","Pfau","11-01-1986"
"Alenka","Baba","09-06-1986"
"Shietung","Tasistro","12-25-1986"
"Arve","Figueira","02-05-1986"
"Fumino","Schahn","09-09-1986"
"Xiaocheng","Bellmore","09-11-1986"
"Sachar","Rosis","12-07-1986"
"Heejo","Vanwelkenhuysen","08-03-1986"
"Xuedong","Heiserman","05-16-1986"
"Yuriy","Conta","05-19-1986"
"Cedric","Matzen","07-23-1986"
"Ibibia","Schmiedel","02-13-1986"
"Yakkov","Pfau","02-25-1986"
"Heng","Sooriamurthi","03-05-1986"
"Jovan","Osgood","10-23-1986"
"Yahiko","Alameldin","09-26-1986"
"Jessie","Barriga","03-24-1986"
"Nechama","Erez","07-08-1986"
"Youpyo","Delaune","08-30-1986"
"Yongmao","Cincotta","11-24-1986"
"Ung","Tsukune","10-14-1986"
"Zissis","Sooriamurthi","01-21-1986"
"Ulises","Muhlberg","12-07-1986"
"Idoia","Narwekar","09-25-1986"
"Zvonko","Gente","08-08-1986"
"Troy","Candan","07-19-1986"
"Aleksandar","Ranum","10-26-1986"
"Tamiya","Marshall","10-04-1986"
"Quingbo","Maliniak","04-06-1986"
"Kiam","Zirintsis","06-14-1986"
"Sudhanshu","Radivojevic","02-18-1986"
"Toshimitsu","Wielonsky","07-26-1986"
"Barna","Kamber","05-27-1986"
"Domenick","Roisin","04-02-1986"
"Vishv","Spelt","09-13-1986"
"Georgi","Nergos","08-23-1986"
"Adit","Armand","10-29-1986"
"Sibyl","Jeong","07-28-1986"
"Chenyi","Kushnir","10-27-1986"
"Ranan","Stentiford","06-23-1986"
"Ioana","Monarch","11-16-1986"
"Sanjiv","Stanfel","12-13-1986"
"Manibrata","Michaeli","05-24-1986"
"Mohamadou","Masaki","07-29-1986"
"Huan","Schonegge","03-28-1986"
"Sergi","Garnier","10-06-1986"
"Ingmar","Fabrizio","04-03-1986"
"Frazer","Cappelletti","02-18-1986"
"Lunjin","Siepmann","01-07-1986"
"Katsuo","Kandlur","10-02-1986"
"Wuxu","Rabehasaina","11-14-1986"
"Anwar","Rehfuss","01-22-1986"
"Suebskul","Levergood","11-19-1986"
"Aloys","Denis","08-19-1986"
"Erzsebet","Rabejac","08-30-1986"
"Kazuyasu","Hettesheimer","07-27-1986"
"Kauko","Stenning","09-25-1986"
"Ayonca","Fioravanti","06-18-1986"
"Adamantios","Rehfuss","09-19-1986"
"Rafail","Henseler","09-26-1986"
"Aleksandar","Sudkamp","10-26-1986"
"Lokesh","Syrotiuk","10-01-1986"
"DAIDA","Brookman","10-24-1986"
"Gina","Falck","06-21-1986"
"Aris","Stanfel","12-25-1986"
"Jackson","Hoppenstand","06-29-1986"
"Manibrata","Stiles","01-01-1986"
"Nishit","Siochi","12-17-1986"
"Domenick","Perz","12-06-1986"
"Przemyslawa","Slaats","09-30-1986"
"Jamaludin","Scharstein","01-05-1986"
"Joydip","Stamatiou","06-01-1986"
"Marc","Birta","08-24-1986"
"Adit","Marakhovsky","06-22-1986"
"Toshimori","Gist","06-29-1986"
"Jaber","Prenel","04-28-1986"
"Lech","Imataki","11-10-1986"
"Sanjit","Preusig","06-06-1986"
"Anyuan","Dalphin","08-15-1986"
"Nidapan","Harbusch","07-17-1986"
"Tsz","Reghbati","01-30-1986"
"DeForest","Honglei","08-24-1986"
"Jinya","Matzke","06-18-1986"
"Baziley","Guenter","08-06-1986"
"Moto","Engelmann","06-18-1986"
"Satyanarayana","Georgatos","04-15-1986"
"Adas","Nitto","03-08-1986"
"Yinghua","Ibel","01-06-1986"
"Gunilla","Ashish","07-11-1986"
"Keiichiro","Papsdorf","09-08-1986"
"Aamer","Gammage","08-04-1986"
"Serap","Srimani","11-30-1986"
"Youpyo","Schiper","02-01-1986"
"Sorina","Whitcomb","11-01-1986"
"Fabrizio","Tsukune","10-27-1986"
"Christoper","Farrel","04-30-1986"
"Mohammad","Denos","04-09-1986"
"Annemarie","Thorelli","06-24-1986"
"Billur","Ellozy","01-16-1986"
"Masamitsu","Rodiger","10-18-1986"
"Shichao","Baby","05-13-1986"
"Makato","Kobara","12-24-1986"
"Rildo","Francisci","02-27-1986"
"Sivanarayana","Kopetz","03-14-1986"
"Taizo","Kavvadias","04-11-1986"
"Seongbae","Koyama","12-31-1986"
"Irena","Middleton","07-10-1986"
"Ronghao","Basagni","10-13-1986"
"Zhiguo","Demizu","10-29-1986"
"Fumiya","Rebaine","11-20-1986"
"Sungwon","Rajcani","08-23-1986"
"Georgi","Daescu","02-06-1986"
"Aron","Yavatkar","06-15-1986"
"Prasadram","Domenig","04-22-1986"
"Keung","Setlzner","06-23-1986"
"Shridhar","Kaminger","12-16-1986"
"Yuichiro","Teitelbaum","09-21-1986"
"Shunichi","Delaune","02-10-1986"
"Rimli","Daescu","08-12-1986"
"Pradeep","Caine","12-06-1986"
"Mark","Godskesen","03-26-1986"
"Abdelghani","Gecseg","04-23-1986"
"Vincent","Kambil","01-19-1986"
"Khun","Spinelli","04-05-1986"
"Barton","Menyhert","03-11-1986"
"Leon","Greenaway","09-23-1986"
"Ramzi","Capobianchi","03-26-1986"
"Takushi","Orlowski","03-18-1986"
"Odoardo","Heuser","06-20-1986"
"Hsiangchu","Perfilyeva","12-30-1986"
"Kristof","Steinauer","04-27-1986"
"Stabislas","Kalloufi","08-17-1986"
"Reinhold","Miculan","11-14-1986"
"Berhard","Adachi","04-14-1986"
"Sumant","Murthy","08-26-1986"
"Mansur","Quittner","07-19-1986"
"Neelam","Bottner","05-19-1986"
"Mario","Rande","04-01-1986"
"Basil","Oppitz","11-09-1986"
"Conal","Garrabrants","04-10-1986"
"Remko","Erdi","04-26-1986"
"Duro","Hofting","02-22-1986"
"Chaosheng","Maierhofer","01-13-1986"
"Amstein","Jeansoulin","10-31-1986"
"Shushma","Khalil","03-25-1986"
"Giordano","Salverda","05-06-1986"
"Nadjib","Ranum","04-15-1986"
"Huei","Michaels","08-16-1986"
"Shigeo","Gonthier","02-05-1986"
"Adin","Flanders","09-02-1986"
"Dekang","Terekhov","08-06-1986"
"Elvia","Leivant","07-27-1986"
"Kwok","Auyong","01-07-1986"
"Oldrich","Pramanik","11-21-1986"
"Atreyi","Carrera","08-25-1986"
"Michaela","Gargeya","12-14-1986"
"Arunas","Yetim","04-13-1986"
"Paloma","Dratva","01-26-1986"
"Berna","Aloia","03-21-1986"
"Chuanti","Anick","08-27-1986"
"Martien","Uchoa","02-22-1986"
"Rildo","Savasere","11-12-1986"
"Phillip","Bernardinello","06-15-1986"
"Huiqun","Yeung","05-01-1986"
"Zhigen","Goodrum","08-08-1986"
"Alagu","Braunschweig","08-29-1986"
"Jacqueline","Lamma","04-27-1986"
"Collette","Erdi","01-18-1986"
"Manibrata","Lanphier","12-26-1986"
"Yefim","Fraisse","08-17-1986"
"Phule","Ramsak","10-07-1986"
"Qiwen","Alameldin","11-14-1986"
"DeForest","Denti","05-02-1986"
"Lucian","Birrer","09-29-1986"
"Yagil","Ventosa","08-05-1986"
"Ekawit","Manderick","02-17-1986"
"Zhaofang","Schade","11-07-1986"
"Hinrich","Akaboshi","04-02-1986"
"Vasilii","Pokrovskii","03-19-1986"
"Xudong","Morrin","07-14-1986"
"Temple","Willoner","10-14-1986"
"Venkatesan","Staelin","08-04-1986"
"Sven","Walston","07-06-1986"
"Lijie","Ramsay","12-13-1986"
"Brigham","Bressoud","06-17-1986"
"Jasminko","Shihab","07-05-1986"
"Shai","Zolotykh","08-24-1986"
"Eric","Reghbati","08-21-1986"
"Moon","Ozeri","09-04-1986"
"Subhrajyoti","Maliniak","11-05-1986"
"Jayson","Frijda","10-13-1986"
"Kenton","Matteis","01-09-1986"
"Francoise","Birch","04-04-1986"
"Uri","Sluis","10-25-1986"
"Along","Pesch","12-07-1986"
"Weiru","Koshiba","02-08-1986"
"Kish","Perelgut","04-01-1986"
"Manibrata","Rosti","10-28-1986"
"Youjian","Rindone","01-01-1987"
"Udaiprakash","Fandrianto","09-23-1986"
"Georg","Haddadi","10-20-1986"
"Tayeb","Pusterhofer","09-11-1986"
"Shuzo","Murtafg","04-12-1986"
"Abdelwaheb","Hasenauer","03-17-1986"
"Lucian","Honiden","02-12-1986"
"Bernice","Bardell","08-12-1986"
"Herbert","Atrawala","05-02-1986"
"Lobel","Heusch","05-23-1986"
"Sadun","Merel","10-30-1986"
"Sanjai","Hagimont","09-10-1986"
"Roded","Veevers","01-26-1986"
"KayLiang","Babu","05-25-1986"
"Hsiangchu","Foong","01-13-1986"
"Teruyuki","Zultner","03-08-1986"
"Yongmin","Vanwelkenhuysen","05-29-1986"
"Golgen","Rabejac","01-04-1986"
"Candida","Swan","02-20-1986"
"Alper","Lammel","01-20-1986"
"Lenore","Kieras","09-02-1986"
"Mohamadou","Verhaegen","12-19-1986"
"Guadalupe","Zirintsis","04-01-1986"
"Emran","Delgrange","05-09-1986"
"Tua","Denos","05-25-1986"
"Jaroslava","Speckmann","12-30-1986"
"Aiichiro","Lundstrom","02-02-1986"
"Aloke","Glinert","01-03-1986"
"Karlis","Merkl","03-25-1986"
"Aiman","Suppi","05-04-1986"
"Iara","Heinisuo","05-02-1986"
"Xinan","Ranze","04-12-1986"
"Hongzue","Erman","03-24-1986"
"Jixiang","Serre","10-29-1986"
"Leandro","Krone","09-25-1986"
"Howell","Renear","05-06-1986"
"Yuichiro","Pettit","06-13-1986"
"Eric","Auria","02-24-1986"
"Renny","Harllee","04-04-1986"
"Naraig","Aumann","12-25-1986"
"Hatsukazu","Gilg","03-24-1986"
"Moriyoshi","Cannata","02-17-1986"
"Yechezkel","Wegerle","03-31-1986"
"Phuoc","Thorensen","06-07-1986"
"Ottavia","Rodier","03-13-1986"
"Sugwoo","Swiler","03-02-1986"
"Kish","Farris","12-30-1986"
"Kiyokazu","Melichar","04-19-1986"
"Khoa","Swist","08-30-1986"
"Tomofumi","Cusworth","06-17-1986"
"Harngdar","Ferretti","08-22-1986"
"Avishai","Takanami","07-20-1986"
"Zhanqiu","Danecki","05-19-1986"
"Doohun","Sidje","06-06-1986"
"Qingxiang","Perfilyeva","10-28-1986"
"Dinkar","Huttel","06-18-1986"
"Gopalakrishnan","Polajnar","10-19-1986"
"Khaled","Vadhan","06-16-1986"
"IEEE","Mandell","09-13-1986"
"Kayoko","Nishimukai","10-05-1986"
"Lubomir","Restivo","02-14-1986"
"Tsutomu","Jonsson","08-11-1986"
"Leon","DasSarma","10-21-1986"
"Bernardo","Kornyak","04-17-1986"
"Wayne","Bernardinello","03-17-1986"
"Sreekrishna","Kalsbeek","12-03-1986"
"Giap","Schueller","08-11-1986"
"Shiv","Unni","03-20-1986"
"Tadahiro","Fordan","04-13-1986"
"Visit","Nyanchama","07-10-1986"
"Godehard","Rosenbaum","01-17-1986"
"Ymte","Lammel","08-06-1986"
"Douadi","Cairo","01-12-1986"
"Gregory","Sluis","07-04-1986"
"Leaf","Stranks","02-27-1986"
"Jaana","Besselaar","09-26-1986"
"Moriyoshi","Bael","03-22-1986"
"Leen","DiGiano","08-20-1986"
"Lech","Stiles","06-01-1986"
"Bodh","Kilgore","01-26-1986"
"Udi","Pileggi","04-07-1986"
"Tesuya","Ambroszkiewicz","08-05-1986"
"Junichi","Piazza","04-03-1986"
"Chenye","Setia","10-08-1986"
"Zhonghua","Winter","08-13-1986"
"Luise","Szemeredi","01-09-1986"
"Mitchel","Yetto","09-14-1986"
"Manohar","Pettit","04-19-1986"
"Olivera","Emmerich","10-26-1986"
"Herbert","Billawala","05-11-1986"
"Gurbir","Deyuan","12-27-1986"
"Sigeru","Bolotov","07-23-1986"
"Rosalyn","Kalorkoti","04-20-1986"
"Yuping","Spinelli","12-05-1986"
"Keiichiro","Rettelbach","01-09-1986"
"Uriel","Marakhovsky","12-10-1986"
"Mohammad","Aingworth","02-18-1986"
"Alper","Rodham","09-28-1986"
"Saeed","Bresenham","05-15-1986"
"Elrique","Strooper","06-09-1986"
"Anneke","Wissmann","07-21-1986"
"Trygve","Gewali","10-19-1986"
"Kristian","Pietrzykowski","07-12-1986"
"Fusako","Seiwald","04-20-1986"
"Shigenori","Gill","04-29-1986"
"Heon","Baranowski","12-12-1986"
"Sadun","Peltason","05-01-1986"
"Zhensheng","Zizka","05-15-1986"
"Doowon","Garigliano","01-18-1986"
"Feixiong","Pietrzykowski","10-06-1986"
"Haldun","Grandbois","09-19-1986"
"JoAnne","Melichar","02-25-1986"
"Weiye","Baezner","12-19-1986"
"Navid","Klyachko","05-21-1986"
"Domenico","Zobel","05-27-1986"
"Hausi","Syrzycki","12-15-1986"
"Atreye","Hedayat","12-24-1986"
"Vasilii","Munoz","08-30-1986"
"Marc","Binding","01-26-1986"
"Peer","Papastamatiou","05-13-1986"
"Hyuncheol","Isaak","07-25-1986"
"Limsoon","Zhiwei","01-13-1986"
"Junsik","Undy","01-13-1986"
"Suzette","Gerteisen","03-09-1986"
"Kazuhira","Erol","12-03-1986"
"Erzsebet","Simmen","06-22-1986"
"Subhankar","Irland","10-30-1986"
"DeForest","Gerteisen","04-16-1986"
"Marsal","Kawashimo","04-23-1986"
"Billur","Rande","03-22-1986"
"Uwe","Honiden","01-22-1986"
"Akemi","Picco","08-23-1986"
"Chrisa","Bouloucos","08-31-1986"
"Ziyad","Gecsei","03-09-1986"
"Angus","Gubsky","02-24-1986"
"Zvonko","Baalen","12-31-1986"
"Hidde","Birke","03-02-1986"
"Toshiki","Plump","03-17-1986"
"Licheng","Kolvik","02-21-1986"
"Mohamadou","Nanard","12-01-1986"
"Zeydy","Cummings","04-14-1986"
"Shir","Valiente","12-06-1986"
"Eldridge","Brlek","12-02-1986"
"Leen","Heping","04-25-1986"
"Luerbio","Garigliano","11-07-1986"
"Isaac","Legleitner","03-04-1986"
"Serif","Busillo","09-14-1986"
"Jungsoon","Garrabrants","07-22-1986"
"Nevio","Ritcey","12-04-1986"
"Oksana","Constantine","08-08-1986"
"Christfried","Conta","05-14-1986"
"Huican","Nyrup","05-31-1986"
"Uzi","Schaaf","08-06-1986"
"Piyush","Rusterholz","05-27-1986"
"Sverrir","Egerstedt","08-27-1986"
"Cristinel","Zielinski","03-15-1986"
"Idoia","Ramsey","01-19-1986"
"Kazuhiro","Brender","07-27-1986"
"Giri","Collette","08-05-1986"
"Elgin","Malabarba","07-22-1986"
"Rosine","Schmiedel","07-26-1986"
"Ramalingam","Vilarrasa","01-16-1986"
"Uwe","Biran","12-10-1986"
"Tran","Rusterholz","04-11-1986"
"Menkae","Rosca","08-31-1986"
"Shai","Azevdeo","03-01-1986"
"Moss","Desikan","05-16-1986"
"Ziyad","Birge","01-05-1986"
"Subhankar","Zolotykh","02-05-1986"
"Yongmao","Conti","06-15-1986"
"JoAnna","Malabarba","12-12-1986"
"Vishv","Duclos","04-29-1986"
"Seongbin","Zeleznik","08-18-1986"
"Gunilla","Pileggi","03-07-1986"
"Geoff","Schach","06-16-1986"
"Shahar","Magalhaes","11-23-1986"
"Rimon","Zedlitz","01-01-1987"
"Remzi","Mitzlaff","04-06-1986"
"Takanari","Stentiford","01-03-1986"
"Sumant","Luff","03-14-1986"
"Heeju","Peir","07-17-1986"
"Pintsang","Gilg","06-21-1986"
"Shigenori","Guerreiro","12-20-1986"
"Parto","Ohori","09-18-1986"
"Zhaofang","Tagansky","07-24-1986"
"Subhada","Junot","03-16-1986"
"Kristine","Schaaf","07-24-1986"
"JoAnne","Ibel","12-24-1986"
"Kyoichi","Wielonsky","05-14-1986"
"Katsuyuki","Cmelik","09-09-1986"
"Sajjad","Schiettecatte","05-19-1986"
"Vasilii","Ghazalie","08-29-1986"
"Atreyi","Klassen","06-27-1986"
"Gaetan","Gopalakrishnan","07-10-1986"
"Tomofumi","Schmittgen","02-23-1986"
"Ravishankar","Savasere","09-04-1986"
"IEEE","Vilarrasa","09-20-1986"
"Menkae","Norsworthy","07-31-1986"
"Pragnesh","Baig","08-07-1986"
"Gaetan","Etalle","04-09-1986"
"Trygve","Rodham","09-08-1986"
"Eckart","Brattka","06-06-1986"
"Masako","Vesna","07-16-1986"
"Irene","Brookner","09-18-1986"
"Srinidhi","DiGiano","12-04-1986"
"Oddvar","Parveen","01-30-1986"
"Adit","Randi","07-21-1986"
"Shaowei","Matzke","04-14-1986"
"Fen","Nitto","09-26-1986"
"Kayoko","Pews","12-10-1986"
"Alassane","Budinsky","03-15-1986"
"Narain","Rissanen","11-22-1986"
"Niclas","Mungall","11-01-1986"
"Atreyi","Simmen","02-12-1986"
"Sailaja","Vesna","09-03-1986"
"Heon","Rodite","08-08-1986"
"Sanjai","Munke","07-30-1986"
"Guttorm","Morrey","07-28-1986"
"Barna","Cusworth","03-23-1986"
"Mona","Zirintsis","05-06-1986"
"Jacqueline","Bernatsky","05-22-1986"
"Weiyi","Sewelson","09-15-1986"
"Arto","Dengi","01-11-1986"
"Kauko","Francisci","08-15-1986"
"Gila","Clouatre","09-06-1986"
"Goetz","Peral","05-18-1986"
"Jamaludin","Varman","04-09-1986"
"Nadjib","Angelopoulos","08-15-1986"
"Alair","Murrill","05-17-1986"
"Almudena","Bhattacharjee","10-01-1986"
"Bangqing","Botman","04-24-1986"
"Elliott","Peres","09-01-1986"
"Bikash","Juneja","12-02-1986"
"Michaela","Tsukuda","05-07-1986"
"Make","Tomescu","10-14-1986"
"Vishu","Genther","09-07-1986"
"Shuho","Picaronny","05-17-1986"
"Herb","Flexer","12-27-1986"
"Moie","Siksek","06-23-1986"
"Xuejia","Welham","12-26-1986"
"Christophe","Rodiger","07-22-1986"
"Tsz","Zongker","02-10-1986"
"Rajmohan","Rebaine","01-28-1986"
"Munenori","Nivat","04-09-1986"
"Terresa","Hebert","05-28-1986"
"Baocai","Lamma","02-18-1986"
"Tetsurou","Sifakis","10-29-1986"
"Kellyn","Bratten","12-29-1986"
"Rosli","Tibblin","01-04-1986"
"Marsha","Tagansky","12-19-1986"
"Nalini","Rosin","06-07-1986"
"Zorica","Maginnis","02-03-1986"
"Alper","Vasanthakumar","11-12-1986"
"Chaoyi","Servieres","09-22-1986"
"Rafael","Poehlman","04-11-1986"
"Suzette","Veevers","11-29-1986"
"Fumiko","Luft","09-18-1986"
"Aran","Demeyer","04-26-1986"
"Fumitake","Bierman","07-24-1986"
"Zejun","Schueller","05-20-1986"
"Dmitry","Rosin","10-16-1986"
"Mariangiola","Tischendorf","04-20-1986"
"Taegyun","Zschoche","02-04-1986"
"Weicheng","Maccarone","11-26-1986"
"Somnath","Motley","06-25-1986"
"Wonhee","Uhrig","08-08-1986"
"Haldun","Syang","01-27-1986"
"Divine","Birdsall","12-17-1986"
"Abdulla","Lipner","11-22-1986"
"Kyoichi","Boreale","01-21-1986"
"Sugwoo","Tetzlaff","05-28-1986"
"Theirry","Luan","10-27-1986"
"Bernt","Menyhert","01-06-1986"
"Tremaine","Kandlur","12-15-1986"
"Bangqing","Talmon","01-12-1986"
"Babette","Molberg","04-17-1986"
"Lena","Krichel","06-16-1986"
"Irene","Rassart","07-25-1986"
"Sarita","Stenning","09-02-1986"
"Mansur","Marzano","02-22-1986"
"Phuoc","Lanphier","11-08-1986"
"Haldun","Zlotek","08-14-1986"
"Jinxi","Vickson","09-29-1986"
"Percy","Gerlach","07-07-1986"
"Kristen","Walstra","09-03-1986"
"Hyuckchul","Zucker","08-20-1986"
"Zine","Schwaller","05-07-1986"
"Kazunori","Heiserman","08-09-1986"
"Stella","Lichtman","09-29-1986"
"Rasikan","Plotkin","02-27-1986"
"Billur","Hockney","12-05-1986"
"Tran","Koyama","09-01-1986"
"Alain","Gist","06-16-1986"
"JoAnna","Grospietsch","05-13-1986"
"Feixiong","Naumovich","12-17-1986"
"Sanjay","Servieres","01-01-1986"
"Marie","Kushner","07-07-1986"
"Naraig","Zschoche","04-10-1986"
"Mantis","Glowinski","10-09-1986"
"Chikara","Morrow","10-21-1986"
"Yucel","Babb","02-10-1986"
"JiYoung","Boissier","04-14-1986"
"Eishiro","Garigliano","08-17-1986"
"Jinya","Otillio","11-15-1986"
"Wojceich","Yoshizawa","05-04-1986"
"Xianlong","Halevi","09-24-1986"
"Huiqun","Bharadwaj","07-28-1986"
"Serap","Vanwelkenhuysen","08-26-1986"
"Jayesh","Schrift","04-05-1986"
"Nitsan","Cusworth","05-25-1986"
"Aluzio","Tzvieli","07-27-1986"
"Vishu","Kroha","12-31-1986"
"Shugo","Tyugu","04-21-1986"
"Arif","Randi","07-11-1986"
"Francesca","Shigei","05-04-1986"
"Yongqiao","Atchley","06-23-1986"
"Stamatina","Varker","06-14-1986"
"Mahendra","Champarnaud","02-02-1986"
"Vishwani","Petersohn","04-26-1986"
"Remzi","Harllee","08-06-1986"
"Isamu","Perly","08-22-1986"
"Berto","Rabejac","08-07-1986"
"Shin","Rodier","06-06-1986"
"Stabislas","Luga","05-28-1986"
"Pintsang","Heping","08-25-1986"
"Uriel","Heystek","03-12-1986"
"Snehasis","Wiegley","11-06-1986"
"Toshimitsu","Ozeri","08-09-1986"
"Feiyu","Oxenboll","12-28-1986"
"Serap","Zultner","07-28-1986"
"Shin","Larfeldt","12-22-1986"
"Yunming","Lienhardt","12-13-1986"
"Suzette","Hinsberger","08-07-1986"
"Franziska","Iivonen","02-01-1986"
"Jordanka","Rajala","09-28-1986"
"Lenore","Hanratty","06-08-1986"
"Macha","Bala","08-24-1986"
"Collette","Irland","04-12-1986"
"Douadi","Baez","06-19-1986"
"Tomokazu","Furudate","01-06-1986"
"Perla","Khalid","10-13-1986"
"Phuoc","Gruenwald","01-05-1986"
"Angel","Perry","05-26-1986"
"Amstein","Nilsson","08-06-1986"
"Khosrow","Alpin","10-28-1986"
"Jacqueline","Thummel","05-20-1986"
"Khalil","Rubsam","01-31-1986"
"Adamantios","Driscoll","06-15-1986"
"Lubomir","Bridgland","01-15-1986"
"Yakkov","Pehl","08-17-1986"
"Aron","Cesareni","12-04-1986"
"Wilmer","Molenkamp","01-26-1986"
"Arunachalam","Thebaut","07-27-1986"
"Adib","Stassinopoulos","09-13-1986"
"Kayoko","Eppinger","04-12-1986"
"Berhard","Daescu","01-08-1986"
"Zita","Shobatake","01-01-1986"
"Kaijung","Walstra","04-04-1986"
"Aimee","Hiyoshi","06-24-1986"
"Sampalli","Meszaros","07-14-1986"
"Kazuhiko","Zhang","10-13-1986"
"Gudjon","Ertl","09-01-1986"
"Bikash","Rosti","04-30-1986"
"Divine","Conta","10-09-1986"
"Inderjeet","Pargas","03-25-1986"
"Inderjeet","Eiter","02-05-1986"
"Iara","Breugel","06-02-1986"
"Keung","Otillio","09-17-1986"
"Ravishankar","Condotta","02-22-1986"
"Tsz","Zaumen","07-20-1986"
"Xinglin","Munro","06-30-1986"
"Abdulah","Giaccio","09-26-1986"
"Jayesh","Hedayat","04-08-1986"
"Aris","Templeman","07-21-1986"
"Udi","Delaune","03-04-1986"
"Valeri","Aamodt","07-28-1986"
"Bluma","Zyda","09-25-1986"
"Srinidhi","Pero","12-31-1986"
"Adil","Ghemri","02-08-1986"
"Subhash","Murtafg","08-10-1986"
"Sachio","Pocchiola","03-02-1986"
"Lunjin","Demeyer","06-05-1986"
"Mart","Sabnani","09-23-1986"
"Zsolt","Berendt","02-26-1986"
"Rafail","Gniady","07-03-1986"
"Georgy","Hammerschmidt","01-20-1986"
"Bernd","Vidya","04-26-1986"
"Arve","Benaini","04-07-1986"
"Barry","Geffroy","01-23-1986"
"Aksel","Munawer","05-07-1986"
"Mario","Gyimothy","08-13-1986"
"Sariel","Kuhnemann","06-27-1986"
"Pintsang","Preusig","03-12-1986"
"TRUE","Akaboshi","12-23-1986"
"Maha","Osgood","05-18-1986"
"Xiaoshan","Rahier","02-02-1986"
"Shuky","Senzako","09-29-1986"
"Chrisa","Cools","08-21-1986"
"Mack","Georg","06-23-1986"
"Padma","Kalloufi","09-23-1986"
"Basant","Falby","08-30-1986"
"Vasilii","Khasidashvili","07-19-1986"
"Eldridge","Eldridge","06-24-1986"
"Kazuhisa","Demke","07-09-1986"
"Oscal","Farrag","08-04-1986"
"Satyanarayana","Rosar","05-07-1986"
"Iara","Skrikant","04-29-1986"
"Navin","Chenoweth","06-09-1986"
"Martial","Wolniewicz","06-10-1986"
"Tetsurou","Chandrasekhar","07-25-1986"
"Mokhtar","Chinin","03-14-1986"
"Rosalyn","Benzmuller","03-14-1986"
"Radhakrishnan","Himler","09-15-1986"
"Takahiro","Demos","01-30-1986"
"Junichi","Schwaller","10-17-1986"
"Sibyl","Ruemmler","12-01-1986"
"Tetsushi","Kamber","01-16-1986"
"Suvo","Puppo","02-10-1986"
"Zongyan","Veldwijk","10-16-1986"
"Martien","Lyonns","04-24-1986"
"Parviz","Restivo","03-20-1986"
"Nahla","Rosaz","01-04-1986"
"Teunis","Vuskovic","04-10-1986"
"Golgen","Baezner","04-25-1986"
"Fumitake","Gien","09-20-1986"
"Lokesh","Molenaar","07-21-1986"
"Maia","Krider","12-21-1986"
"Kinh","Servi","12-25-1986"
"Isamu","Cooke","05-06-1986"
"Ziyad","Heping","01-18-1986"
"Susuma","Beznosov","11-10-1986"
"Pascal","Bade","02-18-1986"
"Reinhard","Perri","04-17-1986"
"Paloma","Gecsel","09-26-1986"
"Sumant","Takanami","12-30-1986"
"Wayne","Przulj","11-19-1986"
"Taiji","Rajala","01-03-1986"
"Tesuya","Barriga","07-19-1986"
"Zissis","Shihab","10-19-1986"
"Mototsugu","Scharstein","06-26-1986"
"Noritoshi","Pero","02-04-1986"
"Halsur","Krychniak","08-02-1986"
"Aria","Emmart","06-03-1986"
"Van","Luders","08-13-1986"
"Paraskevi","Ramsey","05-21-1986"
"Caolyn","Gewali","07-09-1986"
"Guoxiang","Hennings","07-02-1986"
"Emdad","Himler","10-29-1986"
"Jinxi","Rosar","11-12-1986"
"Jaber","Couchot","02-19-1986"
"Nahid","Dymetman","11-07-1986"
"Luise","Wixon","12-22-1986"
"Uno","Hinsberger","01-16-1986"
"Maren","Lichtner","03-05-1986"
"Jaideep","Schlegelmilch","03-04-1986"
"Dzung","Manders","11-10-1986"
"Huican","Rissland","07-13-1986"
"Chuanyi","Smailagic","08-04-1986"
"Arco","Gustavson","06-28-1986"
"Martien","Msuda","03-02-1986"
"Udaiprakash","Cardazo","12-26-1986"
"Susumu","Maraist","04-01-1986"
"Marsha","Redmiles","12-14-1986"
"Fumiyo","Rajaraman","09-11-1986"
"Mori","Hoogerwoord","01-18-1986"
"Takahiro","Bernatsky","03-05-1986"
"Sushant","Clouatre","07-11-1986"
"Sreekrishna","Hofting","01-26-1986"
